Categoria,Marca,Título,Precio Original,Precio +40%,Imagen URL
Labiales,Italia,Labial Mousse Matte,35.5,49.7,https://dubellay.mx/cdn/shop/products/ITA-LABMOU-03_1000x.jpg?v=1657310123
Labiales,Bissú,Labial Humectante,31.0,43.4,https://dubellay.mx/cdn/shop/products/BIS-LABHUM-01_1ef8fdee-2f66-4c26-9b93-a58716f2fdd8_1000x.jpg?v=1657307365
Labiales,Bissú,Labial Mate,36.0,50.4,https://dubellay.mx/cdn/shop/products/BIS-LABMTE-01_779a4b7b-721b-4e29-b768-cebf77fe75d8_1000x.jpg?v=1657307439
Labiales,Italia,Set de Labiales Top Five,178.0,249.2,https://dubellay.mx/cdn/shop/products/ITA-SETTF-CR_1000x.jpg?v=1660935076
Labiales,Pink Up,Tinta Kiss,56.0,78.4,https://dubellay.mx/cdn/shop/products/PUP-TIN-PKLK01_1_1000x.png?v=1776467828
Labiales,Pink Up,Labial en Barra,40.5,56.7,https://dubellay.mx/cdn/shop/files/PUP-LABBAR-PKLP01_1_1000x.jpg?v=1776467114
Labiales,Italia,Serie Tinta Refrescante To Dye For,168.0,235.2,https://dubellay.mx/cdn/shop/files/ITA-SER-CT165_1000x.png?v=1776466454
Labiales,Bissú,Labial Mágico,31.0,43.4,https://dubellay.mx/cdn/shop/products/TQM_1000x.jpg?v=1776467827
Labiales,Italia,Labial Seduce Me,38.0,53.2,https://dubellay.mx/cdn/shop/products/01_1000x.png?v=1776467827
Labiales,Dapop,Serie de Tinta Pop Juicy,162.0,226.8,https://dubellay.mx/cdn/shop/files/DAP-HB102305-SER_1000x.png?v=1776466691
Labiales,Italia,Serie Stuck On You,216.0,302.4,https://dubellay.mx/cdn/shop/files/ITA-SER-186_1000x.png?v=1776466994
Labiales,Beauty Creations,Labial Tease Me,68.0,95.2,https://dubellay.mx/cdn/shop/products/LTM01_1_1000x.jpg?v=1776467481
Labiales,Italia,Labial Matte Locked In Place,45.0,63.0,https://dubellay.mx/cdn/shop/files/ITA-LABIAL-BARR193-D-193LPL-01_1_1000x.jpg?v=1776464711
Labiales,Bissú,Tintas para Labios y Mejillas,57.0,79.8,https://dubellay.mx/cdn/shop/products/BIS-TIN-01_1_1000x.jpg?v=1660933858
Labiales,Colorton,Labial en Barra The Only Matte 24h,29.0,40.6,https://dubellay.mx/cdn/shop/files/COL-C138-01_1_1000x.jpg?v=1776466149
Labiales,Saniye,Tinta Sweet,17.0,23.8,https://dubellay.mx/cdn/shop/products/L1213-01_1000x.jpg?v=1776467479
Labiales,Ayvanna Rêver,Labial en Barra Mate 16H,50.0,70.0,https://dubellay.mx/cdn/shop/files/AYR-LAB16H-L102_1_1000x.jpg?v=1776466457
Labiales,Dapop,Tinta Dewy Ink,43.0,60.2,https://dubellay.mx/cdn/shop/files/DAP-HB105736-A_4_1000x.png?v=1776465734
Labiales,Yuya,Labial en Barra Mate,102.0,142.8,https://dubellay.mx/cdn/shop/files/YUY-LABBAR-BGO_1_1200x.png?v=1776466631
Labiales,Beauty Creations,Dúo para Labios,159.0,222.6,https://dubellay.mx/cdn/shop/files/BCR-DUO-LD1_1_1000x.jpg?v=1776467113
Labiales,Italia,Serie Tinta Kiss Proof,64.5,90.3,https://dubellay.mx/cdn/shop/files/ITA-SER-176B_1000x.png?v=1776465010
Labiales,Beauty Creations,Labial NudeX,70.5,98.7,https://dubellay.mx/cdn/shop/files/01_d90bc8e4-867e-471a-bec9-47100c0a903d_1005x.jpg?v=1776467480
Labiales,Italia,Serie Tinta para Labios To Dye For,81.0,113.4,https://dubellay.mx/cdn/shop/files/ITA-SER-166_1000x.png?v=1776465010
Labiales,Colorgram,Tinta Fruity Glass Tint,230.0,322.0,https://dubellay.mx/cdn/shop/files/GLG-TINFRU-00_2_1000x.jpg?v=1776466392
Labiales,Kleancolor,Labial Adorbs,16.5,23.1,https://dubellay.mx/cdn/shop/files/KLE-LS901-01_1000x.jpg?v=1776466997
Labiales,Ruby Rose,Tinta en Gel,41.5,58.1,https://dubellay.mx/cdn/shop/products/RBR-HB555-01_1_1000x.jpg?v=1776467597
Labiales,Ayvanna Rêver,Labial en Barra Satinado Hidratante,50.0,70.0,https://dubellay.mx/cdn/shop/files/AYR-LABSAT-M109_1_1000x.jpg?v=1776466575
Labiales,Italia,Exhibidor Labial Mousse Matte,5.0,7.0,https://dubellay.mx/cdn/shop/products/EXMOUSSE_1000x.jpg?v=1776467827
Labiales,Ultramo,Labial Encantado Only You,23.0,32.2,https://dubellay.mx/cdn/shop/files/ULT-LABIAL-BARR067-D-WD06701_1_1000x.jpg?v=1776464834
Labiales,Free Bloom,Labial en Barra Velvet Petal,77.0,107.8,https://dubellay.mx/cdn/shop/files/FRB-LABBAR-L01_1_1000x.png?v=1776466152
Labiales,Romantic Beauty,Tinta 2 en 1 Jelly,25.5,35.7,https://dubellay.mx/cdn/shop/files/RBE-LG7042-01_1_1000x.png?v=1776466150
Labiales,Moira,Labial en Barra Goddess,100.0,140.0,https://dubellay.mx/cdn/shop/files/MOI-LAB-GDL001_1_1000x.jpg?v=1776466089
Labiales,Dapop,Serie Tinta Dewy Ink,234.0,327.6,https://dubellay.mx/cdn/shop/files/DAP-SER-HB105736_1000x.png?v=1776465733
Labiales,Atenea Beauty,Labial Velvetouch Soft Matte,62.0,86.8,https://dubellay.mx/cdn/shop/files/ATNLABIAL-BARRMAT-D-CAKE_3_1000x.jpg?v=1776465374
Labiales,Saniye,Aceite Mágico 24k Gold,23.0,32.2,https://dubellay.mx/cdn/shop/files/SAN-ACELAB-MAG392-D-L139201_1_1000x.jpg?v=1776464892
Labiales,Italia,Tinta Refrescante To Dye For,28.0,39.2,https://dubellay.mx/cdn/shop/files/ITA-CT165-01_1_1000x.png?v=1776464711
Labiales,Saniye,Labial en Barra,21.5,30.1,https://dubellay.mx/cdn/shop/files/SAN-K1171-01_1000x.jpg?v=1776466580
Labiales,Moira,Labial Signature Lipstick,100.0,140.0,https://dubellay.mx/cdn/shop/files/SLS001_2_1000x.jpg?v=1776467410
Labiales,MC Cosmetics,Labial en Barra Happy Kiss,16.0,22.4,https://dubellay.mx/cdn/shop/files/MCC-HB103559-01_1000x.jpg?v=1776465612
Labiales,Marifer,Labial Most Matte Lipstick,57.5,80.5,https://dubellay.mx/cdn/shop/products/140_1_1000x.jpg?v=1776467482
Labiales,Betty Boop x Beauty Creations,Duo para Labios Classy & Sassy Betty Boop,173.5,242.9,https://dubellay.mx/cdn/shop/files/BCR-BB-LD_1_1000x.jpg?v=1776465611
Labiales,MC Cosmetics,Labial en Barra Mágico,12.5,17.5,https://dubellay.mx/cdn/shop/files/MCC-HB102304-01_1_1000x.jpg?v=1776466389
Labiales,Beauty Creations,Trío para Labios My Faves,280.0,392.0,https://dubellay.mx/cdn/shop/files/YMT3_1_1_1000x.png?v=1776467410
Labiales,MC Cosmetics,Labial en Barra Matte Kitten,19.0,26.6,https://dubellay.mx/cdn/shop/files/MCC-HB103534-01_1000x.jpg?v=1776466390
Labiales,Unleashia,Tinta Luv Hug Velvet,129.5,181.3,https://dubellay.mx/cdn/shop/files/UNL-TINLUV-01_1_1000x.jpg?v=1776465731
Labiales,Beauty Creations,Kit de Labios Rosy McMichael Vol. 2 The Not So Classic,357.0,499.8,https://dubellay.mx/cdn/shop/files/BCR-KIT-RMV2LS1_3_1000x.jpg?v=1776467056
Labiales,Colorgram,Tinta Juicy Drop Tint,225.5,315.7,https://dubellay.mx/cdn/shop/files/GLG-TINJUI-01_1_1000x.jpg?v=1776466455
Labiales,Saniye,Tinta Ice Cream,20.5,28.7,https://dubellay.mx/cdn/shop/files/SAN-L1383-01_1000x.jpg?v=1776465730
Labiales,Beauty Creations,Kit de Labios Sedúceme,238.5,333.9,https://dubellay.mx/cdn/shop/files/BCR-KIT-LABIGLT-D-BCVG-LT_1_1000x.jpg?v=1776465248
Labiales,Ayvanna Rêver,Labial en Barra Superstay 8h,50.0,70.0,https://dubellay.mx/cdn/shop/files/AYR-SUPBAR-U101_1_1000x.png?v=1776466391
Fijadores Para Cabello,Nicka K,Cera TruEdge Hair Stick,103.5,144.9,https://dubellay.mx/cdn/shop/files/NIK-CERCAB-BTN-D-HYES01SWEETPEACH_1_1000x.jpg?v=1776465194
Fijadores Para Cabello,Kolor Shot,Spray Fijador de Cabello,91.0,127.4,https://dubellay.mx/cdn/shop/files/KST-SPR-400_1000x.jpg?v=1776466760
Fijadores Para Cabello,Kuul,Cera Fix Me Frost Wax,89.5,125.3,https://dubellay.mx/cdn/shop/products/KUL-CER-FRO_1000x.jpg?v=1657310844
Fijadores Para Cabello,Kuul,Cera Fix Me Urban Wax,96.0,134.4,https://dubellay.mx/cdn/shop/products/KUL-CER-URB_1000x.jpg?v=1657310846
Fijadores Para Cabello,Xiomara,Cera Fixolan Elastik Wax,75.5,105.7,https://dubellay.mx/cdn/shop/products/XIO-CER-FXL030_1000x.jpg?v=1657314890
Fijadores Para Cabello,Colorton,Gel Natural de Linaza,49.5,69.3,https://dubellay.mx/cdn/shop/files/COL-GELCAB-300-D_1000x.jpg?v=1776464476
Ayvanna Rever,Ayvanna Rêver,Brillo Labial,60.0,84.0,https://dubellay.mx/cdn/shop/files/AYR-BRI-G01_1000x.png?v=1776466633
Ayvanna Rever,Ayvanna Rêver,Bálsamo Vitality Kiss,45.0,63.0,https://dubellay.mx/cdn/shop/files/AYR-BAL-01_2_1000x.jpg?v=1776466575
Ayvanna Rever,Ayvanna Rêver,Labial en Barra Mate 16H,50.0,70.0,https://dubellay.mx/cdn/shop/files/AYR-LAB16H-L102_1_1000x.jpg?v=1776466457
Ayvanna Rever,Ayvanna Rêver,Maquillaje Líquido 24H + SPF 30,90.0,126.0,https://dubellay.mx/cdn/shop/files/AYR-MAQLIQ-03_1000x.png?v=1776466689
Ayvanna Rever,Ayvanna Rêver,Brillo Labial,56.0,78.4,https://dubellay.mx/cdn/shop/files/AYR-BRI-B01_3_1000x.jpg?v=1776465733
Ayvanna Rever,Ayvanna Rêver,Corrector Líquido Sweetheart,54.0,75.6,https://dubellay.mx/cdn/shop/files/AYR-COR-01_1000x.png?v=1776466632
